S.no,URLs
1,https://www.yamaha-motor-india.com/
2,https://www.yamaha-motor-india.com/privacy-index.html
3,https://www.yamaha-motor-india.com/two-wheeler.html
4,https://www.yamaha-motor-india.com/yamaha-r15m.html
5,https://www.yamaha-motor-india.com/yamaha-r15m-60th-anniversary.html
6,https://www.yamaha-motor-india.com/yamaha-r15v4.html
7,https://www.yamaha-motor-india.com/yamaha-motogp-editions.html
8,https://www.yamaha-motor-india.com/yamaha-r15s.html
9,https://www.yamaha-motor-india.com/yamaha-mt-15-v2.html
10,https://www.yamaha-motor-india.com/yamaha-fzs25.html
11,https://www.yamaha-motor-india.com/yamaha-fz25.html
12,https://www.yamaha-motor-india.com/yamaha-fzx.html
13,https://www.yamaha-motor-india.com/yamaha-fzs-fi.html
14,https://www.yamaha-motor-india.com/yamaha-fz-fi.html
15,https://www.yamaha-motor-india.com/yamaha-scooters.html
16,https://www.yamaha-motor-india.com/yamaha-aerox.html
17,https://www.yamaha-motor-india.com/yamaha-ray-zrstreetrally125fihybrid.html
18,https://www.yamaha-motor-india.com/yamaha-ray-zr125fihybrid.html
19,https://www.yamaha-motor-india.com/yamaha-fascino125fi-new.html
20,https://www.yamaha-motor-india.com/dealer-network.html
21,https://www.yamaha-motor-india.com/yamaha-buyersguide.html
22,https://www.yamaha-motor-india.com/service-home.html
23,https://www.yamaha-motor-india.com/service-tcs.html
24,https://www.yamaha-motor-india.com/extended-warranty.html
25,https://www.yamaha-motor-india.com/service-maintenance.html
26,https://www.yamaha-motor-india.com/service-rpit.html
27,https://www.yamaha-motor-india.com/service-schedule.html
28,https://www.yamaha-motor-india.com/service-campaign.html
29,https://www.yamaha-motor-india.com/service-labour.html
30,https://www.yamaha-motor-india.com/service-standardfitmentkit.html
31,https://www.yamaha-motor-india.com/service-camp.html
32,https://www.yamaha-motor-india.com/service-training.html
33,https://www.yamaha-motor-india.com/service-rsa-contest.html
34,https://www.yamaha-motor-india.com/service-rsa-skill.html
35,https://www.yamaha-motor-india.com/mileage-champions.html
36,https://www.yamaha-motor-india.com/spare-parts.html
37,https://www.yamaha-motor-india.com/events-home.html
38,https://www.yamaha-motor-india.com/about-yamaha.html
39,https://www.yamaha-motor-india.com/video-home.html
40,https://www.yamaha-motor-india.com/contact-businesspartner.html
41,https://www.yamaha-motor-india.com/contact-us.html
42,https://www.yamaha-motor-india.com/downloads-brochure.html
43,http://shop.yamaha-motor-india.com/
44,https://www.yamaha-motor-india.com/yamaha-motogpedition.html
45,https://www.yamaha-motor-india.com/yamaha-bikes.html
46,https://www.yamaha-motor-india.com/news-monster-energy-yamaha-moto-gp-edition-2022.html
47,https://www.yamaha-motor-india.com/news-quartararo-reigns-victorious.html
48,https://www.yamaha-motor-india.com/news-quartararo-rides-to-masterful-second-place-at-mugello.html
49,https://www.yamaha-motor-india.com/news-quartararo-pushes-to-fourth-place-in-french-gp.html
50,https://www.yamaha-motor-india.com/yamaha-whatsnew.html
51,https://www.yamaha-motor-india.com/thecalloftheblue-campaign.html
52,https://www.yamaha-motor-india.com/aboutus-manufacturing.html
53,https://www.yamaha-motor-india.com/about-foundinghistory.html
54,https://www.yamaha-motor-india.com/racing-index.html
55,https://www.yamaha-motor-india.com/bluetooth-connect.html
56,https://www.yamaha-motor-india.com/news-latest.html
57,https://www.yamaha-motor-india.com/yamaha-announcement-beware-of-fake-facebook-account.html
58,https://www.yamaha-motor-india.com/yamaha-dealers.html
59,https://www.yamaha-motor-india.com/yamaha-virtualstore.html
60,https://www.yamaha-motor-india.com/yamaha-bluesquare.html
61,https://www.yamaha-motor-india.com/yamaha-model-comparison.html
62,https://www.yamaha-motor-india.com/yamaha-gettingstarted.html
63,https://www.yamaha-motor-india.com/service-customereducation.html
64,https://www.yamaha-motor-india.com/consumable-parts.html
65,https://www.yamaha-motor-india.com/parts-yamalube.html
66,https://www.yamaha-motor-india.com/parts-helmet.html
67,https://www.yamaha-motor-india.com/trackday-campaign.html
68,https://www.yamaha-motor-india.com/thecalloftheblue-weekend.html
69,https://www.yamaha-motor-india.com/bluestreak-campaign.html
70,https://www.yamaha-motor-india.com/presskit-index.html
71,https://www.yamaha-motor-india.com/presskit-images.html
72,https://www.yamaha-motor-india.com/about-companyprofile.html
73,https://www.yamaha-motor-india.com/corporate-governance.html
74,https://www.yamaha-motor-india.com/awards-index.html
75,https://www.yamaha-motor-india.com/about-manufacturingprocess.html
76,https://www.yamaha-motor-india.com/yamaha-productenquiry.html
77,https://www.yamaha-motor-india.com/contact-feedback.html
78,https://www.yamaha-motor-india.com/contact-salesenquiry.html
79,https://www.yamaha-motor-india.com/career-home.html
80,https://www.yamaha-motor-india.com/career-index.html
81,https://www.yamaha-motor-india.com/career-whyjoinyamaha.html
82,https://www.yamaha-motor-india.com/career-functions.html
83,https://www.yamaha-motor-india.com/career-currentopenings.html
84,https://www.yamaha-motor-india.com/career-campusrecruitment.html
85,https://www.yamaha-motor-india.com/career-disclaimer.html
86,https://www.yamaha-motor-india.com/terms-index.html
87,https://www.yamaha-motor-india.com/sitemap-index.html
88,http://shop.yamaha-motor-india.com/?_ga=2.99127704.727021827.1634542815-629947805.1595072213
89,https://shop.yamaha-motor-india.com/products/quick-shift-system
90,https://shop.yamaha-motor-india.com/collections/r15v4-r15vm-accessories/products/buy-r15v4-clutch-brake-lever
91,https://shop.yamaha-motor-india.com/collections/r15v4-r15vm-accessories/products/frame-slider
92,https://shop.yamaha-motor-india.com/collections/r15v4-r15vm-accessories/products/lever-guard
93,https://shop.yamaha-motor-india.com/collections/r15v4-r15vm-accessories/products/buy-r15v4-mobile-charger
94,https://shop.yamaha-motor-india.com/collections/r15v4-r15vm-accessories/products/seat-cover
